,pearson,spearman
Δ竞价空间(MW),0.24013607397418715,0.37034402019378465
Δ省调负荷(MW),0.2126237342253559,0.3113967791127472
Δ负荷率,0.2037710675015764,0.3047456052799948
Δ新能源负荷(MW),-0.19437590704597513,-0.3168105560208159
Δ风电负荷(MW),-0.1652404032934892,-0.2873193981567373
Δ非市场化出力(MW),-0.1375030797660782,-0.23261471598490036
Δ新能源占比,-0.1345291543461338,-0.31056972504012015
Δ光伏负荷(MW),-0.11910742331226931,-0.14770610523294583
Δ水电负荷(MW),0.044872696125812433,0.061884143336245714
