date,n,mae,trmae10,xgb_total_error,da_total_error,benefit,max_abs_err,max_mape,mean_mape,peak_hour,peak_y_true,peak_y_pred
2025-12-08,24,21.37862958195308,12.732048970133063,513.087109966874,954.7174999999999,441.6303900331259,169.2186036682129,48.85169386410298,8.566851319374999,15,346.3925,177.1738963317871
2025-12-05,24,72.12260642687481,60.58066395473479,1730.9425542449953,2003.4475000000002,272.5049457550049,276.82977684021,299.3725282147832,30.868334880512432,15,92.47,369.29977684021
2025-12-09,24,29.808359884780373,20.825236433162353,715.400637234729,969.6175000000001,254.21686276527112,207.86141664505007,116.21783939227312,14.120957694645066,4,178.855,386.71641664505006
2025-12-11,24,48.52736549874147,34.50556988501548,1164.6567719697953,1415.4225000000001,250.76572803020485,292.61992401123047,324.22685902550967,35.76753664036835,15,375.3725,82.75257598876954
2025-12-10,24,37.32736807266872,31.309879871368413,895.8568337440493,1139.8625000000002,244.00566625595093,149.16563400268558,51.83096640902233,12.836059057856957,14,287.7925,138.62686599731444
2025-12-21,24,42.000809102455776,25.097914106369025,1008.0194184589386,1247.145,239.12558154106136,316.0151768493652,86.23573886271582,17.759469140773962,10,366.455,50.439823150634766
2025-12-07,24,21.01184277320901,16.536841540634626,504.28422655701627,726.2249999999998,221.94077344298353,86.70020202636718,61.690765637090635,13.188500776179675,12,140.54,53.83979797363281
2025-12-16,24,12.1213751488924,9.097436974048609,290.9130035734176,509.2499999999999,218.3369964265823,57.632719116210936,57.612457737711466,8.368375665718439,10,108.8925,51.25978088378906
2025-12-17,24,55.9951169848442,39.416176500797256,1343.8828076362608,1505.0149999999999,161.13219236373902,344.71927337646486,543.8787078857422,40.10487051947566,14,396.3,51.580726623535156
2025-12-15,24,32.38285774158624,22.81900034007058,777.1885857980698,916.4775000000001,139.2889142019303,252.1800091552734,454.77439880371094,37.69620634224904,15,125.5475,377.7275091552734
2025-12-13,24,26.992657848596576,21.999110598325736,647.8237883663178,766.0225,118.19871163368225,108.66750280380248,44.546462826451624,9.557084865523207,15,254.395,363.0625028038025
2025-12-12,24,17.818706794778503,7.008914242982863,427.6489630746841,521.9775,94.32853692531586,266.46431030273436,67.12496874498149,4.485852125261008,12,396.9675,130.5031896972656
2025-12-04,24,41.5513199053208,25.8525268433094,997.2316777276992,1091.135,93.90332227230078,290.6495541381836,65.36077316261704,9.36622459719115,11,444.685,154.0354458618164
2025-12-03,24,25.96470387299856,19.0445772150755,623.1528929519654,674.5225,51.369607048034595,140.3033060193062,200.98098981991077,21.529480126739816,15,246.71249999999998,387.0158060193062
2025-12-01,24,28.934938346132014,23.010396039824933,694.4385203071683,739.1750000000001,44.73647969283172,155.5475395965576,713.9843246459961,55.94124680384109,9,325.005,169.45746040344238
2025-12-29,24,53.01000198364259,35.91228289866448,1272.2400476074222,1285.1525000000001,12.912452392577961,307.45087491989136,3074.5087491989134,224.19997011262816,10,0.0,307.45087491989136
2025-12-02,24,8.717317244770626,5.849428305700417,209.21561387449503,216.66750000000002,7.451886125504984,46.61868108749388,12.743263561625314,2.256214999614494,12,365.83,319.2113189125061
2025-12-23,24,7.357404124438759,6.225139786362644,176.5776989865302,165.66750000000002,-10.91019898653019,28.398262939453105,6.391362791542879,1.6663301651300293,15,444.3225,415.9242370605469
2025-12-30,24,28.409095717509597,25.407509627819064,681.8182972202303,666.9860000000001,-14.832297220230203,88.51060422897342,653.0408081054688,72.34449049333351,22,352.24,263.7293957710266
2025-12-24,24,3.6994127478776497,0.9775129900425668,88.78590594906359,68.88499999999999,-19.9009059490636,65.6199244260788,14.036347470818994,0.8253260255889191,23,467.5,401.8800755739212
2025-12-06,24,44.56633746306102,39.06840872359275,1069.5920991134644,1004.6600000000001,-64.93209911346435,166.85014633178713,995.0465591430664,109.0629813981456,14,223.10250000000002,56.25235366821289
2025-12-22,24,16.181002282202236,15.316725104451175,388.34405477285367,314.1799999999999,-74.16405477285377,44.83049291133881,9.316782266789726,3.6840046419557115,11,481.18,436.3495070886612
2025-12-28,24,29.038010708491,26.04155990576744,696.912257003784,614.3149999999998,-82.5972570037842,122.87532634735106,383.97621154785156,79.75467487889203,9,67.96000000000001,190.83532634735107
2025-12-20,24,54.22190873662631,46.099802535533904,1301.3258096790314,1213.085,-88.24080967903137,236.24457595825197,56.72240819660666,12.73763039336596,20,416.4925,180.24792404174804
2025-12-26,24,64.67700422573058,44.408200644349684,1552.2481014175341,1443.7975000000001,-108.45060141753402,380.4865165805817,3804.865165805817,413.5705924903848,14,4.1875,384.6740165805817
2025-12-14,24,27.020206379417015,20.869863387731833,648.4849531060083,505.2775,-143.20745310600836,181.94229734420776,458.09436492919923,93.12224006374379,15,209.8075,391.74979734420776
2025-12-18,24,31.78773038764794,28.404767140626905,762.9055293035506,612.4824999999998,-150.42302930355072,122.69120452880858,498.6692428588867,106.11343543074376,9,178.0425,55.351295471191406
2025-12-27,24,17.008111415505414,12.737545299530035,408.1946739721299,226.47250000000003,-181.7221739721299,113.23154744148252,400.5686950683594,83.91255316292352,9,347.7075,234.47595255851746
2025-12-25,24,39.406985163465144,22.187651353925474,945.7676439231635,738.6850000000002,-207.08264392316335,298.664378862381,2032.0048889160155,180.30873005976048,15,90.4325,389.096878862381
